id_g,src,dst
0,0,12
0,0,13
0,0,14
0,0,15
0,0,23
0,0,24
0,0,25
0,0,28
0,0,32
0,1,15
0,1,19
0,2,14
0,2,17
0,2,21
0,2,23
0,2,29
0,3,23
0,3,25
0,3,29
0,4,19
0,4,20
0,4,27
0,5,15
0,5,18
0,5,20
0,5,24
0,5,25
0,5,26
0,6,16
0,6,19
0,6,32
0,7,15
0,7,17
0,7,24
0,7,32
0,8,20
0,8,30
0,8,31
0,8,32
0,9,19
0,9,22
0,9,30
0,11,18
0,11,27
0,11,29
1,0,12
1,0,13
1,0,21
1,0,24
1,0,25
1,0,28
1,1,15
1,1,19
1,1,27
1,1,30
1,2,14
1,2,17
1,2,21
1,2,23
1,2,25
1,2,31
1,3,23
1,3,24
1,3,25
1,3,29
1,4,13
1,4,19
1,4,21
1,4,27
1,7,32
1,8,20
1,8,28
1,8,30
1,8,31
1,8,32
1,9,17
1,9,22
1,9,30
1,10,12
1,10,18
1,10,27
1,10,30
1,11,18
1,11,20
1,11,27
1,11,32
2,0,12
2,0,13
2,0,19
2,0,24
2,0,25
2,0,28
2,1,15
2,1,19
2,2,14
2,2,17
2,2,19
2,2,21
2,2,23
2,3,13
2,3,23
2,3,25
2,3,29
2,4,12
2,4,14
2,4,17
2,4,19
2,4,21
2,4,25
2,4,27
2,5,13
2,5,17
2,5,24
2,5,25
2,5,26
2,6,16
2,6,19
2,6,27
2,7,32
2,8,20
2,8,28
2,8,30
2,8,31
2,8,32
2,9,17
2,9,19
2,9,22
2,9,30
2,10,17
2,10,27
2,10,31
2,11,15
2,11,18
2,11,27
3,0,12
3,0,13
3,0,24
3,0,25
3,0,28
3,0,32
3,1,15
3,1,19
3,2,14
3,2,17
3,2,21
3,2,23
3,3,23
3,3,25
3,3,29
3,4,17
3,4,19
3,4,27
3,4,32
3,5,25
3,5,26
3,6,16
3,6,19
3,7,25
3,7,31
3,7,32
3,8,20
3,8,30
3,8,31
3,8,32
3,9,22
3,9,25
3,9,30
3,10,12
3,10,27
3,11,18
3,11,27
4,0,12
4,0,13
4,0,15
4,0,24
4,0,25
4,0,28
4,1,15
4,1,19
4,2,14
4,2,17
4,2,21
4,2,23
4,3,20
4,3,23
4,3,25
4,3,29
4,4,16
4,4,18
4,4,19
4,4,27
4,5,23
4,5,25
4,5,26
4,6,16
4,6,19
4,6,22
4,8,20
4,8,25
4,8,30
4,8,31
4,8,32
4,9,22
4,9,30
5,0,12
5,0,13
5,0,16
5,0,19
5,0,20
5,0,24
5,0,25
5,0,28
5,0,31
5,1,14
5,1,15
5,1,19
5,1,20
5,1,22
5,2,14
5,2,17
5,2,18
5,2,21
5,2,23
5,3,23
5,3,25
5,3,29
5,4,16
5,4,19
5,4,27
5,5,18
5,5,19
5,5,25
5,5,26
5,6,15
5,6,16
5,6,19
5,6,20
5,8,20
5,8,23
5,8,24
5,8,30
5,8,31
5,8,32
5,10,27
5,11,13
5,11,16
5,11,18
5,11,19
5,11,27
5,11,28
5,11,29
6,0,12
6,0,13
6,0,22
6,0,24
6,0,25
6,0,28
6,1,15
6,1,19
6,2,12
6,2,14
6,2,16
6,2,17
6,2,20
6,2,21
6,2,23
6,3,23
6,3,25
6,3,29
6,3,32
6,4,19
6,4,27
6,6,13
6,6,16
6,6,19
6,7,15
6,7,18
6,7,32
6,8,16
6,8,20
6,8,30
6,8,31
6,8,32
6,9,19
6,9,22
6,9,30
6,10,27
6,10,28
6,11,18
6,11,27
7,0,12
7,0,13
7,0,18
7,0,24
7,0,25
7,0,28
7,1,14
7,1,15
7,1,19
