id_g,node_type,d_src,d_dst,supply,demand
0,1,9,0,24.0,0.0
0,1,2,0,19.0,0.0
0,1,5,0,31.0,0.0
0,1,3,0,30.0,0.0
0,1,3,0,26.0,0.0
0,1,6,0,14.0,0.0
0,1,3,0,23.0,0.0
0,1,4,0,20.0,0.0
0,1,4,0,63.0,0.0
0,1,3,0,13.0,0.0
0,1,0,0,32.0,0.0
0,1,3,0,25.0,0.0
0,0,0,1,0.0,2.0
0,0,0,1,0.0,8.0
0,0,0,2,0.0,2.0
0,0,0,4,0.0,3.0
0,0,0,1,0.0,19.0
0,0,0,2,0.0,5.0
0,0,0,2,0.0,15.0
0,0,0,4,0.0,38.0
0,0,0,3,0.0,32.0
0,0,0,1,0.0,9.0
0,0,0,1,0.0,3.0
0,0,0,3,0.0,21.0
0,0,0,3,0.0,2.0
0,0,0,3,0.0,29.0
0,0,0,1,0.0,5.0
0,0,0,2,0.0,50.0
0,0,0,1,0.0,9.0
0,0,0,3,0.0,7.0
0,0,0,2,0.0,27.0
0,0,0,1,0.0,7.0
0,0,0,4,0.0,27.0
1,1,6,0,24.0,0.0
1,1,4,0,19.0,0.0
1,1,6,0,31.0,0.0
1,1,4,0,30.0,0.0
1,1,4,0,26.0,0.0
1,1,0,0,14.0,0.0
1,1,0,0,23.0,0.0
1,1,1,0,20.0,0.0
1,1,5,0,63.0,0.0
1,1,3,0,13.0,0.0
1,1,4,0,32.0,0.0
1,1,4,0,25.0,0.0
1,0,0,2,0.0,2.0
1,0,0,2,0.0,8.0
1,0,0,1,0.0,2.0
1,0,0,1,0.0,3.0
1,0,0,0,0.0,19.0
1,0,0,2,0.0,5.0
1,0,0,2,0.0,15.0
1,0,0,2,0.0,38.0
1,0,0,2,0.0,32.0
1,0,0,3,0.0,9.0
1,0,0,1,0.0,3.0
1,0,0,2,0.0,21.0
1,0,0,2,0.0,2.0
1,0,0,3,0.0,29.0
1,0,0,0,0.0,5.0
1,0,0,4,0.0,50.0
1,0,0,2,0.0,9.0
1,0,0,1,0.0,7.0
1,0,0,4,0.0,27.0
1,0,0,2,0.0,7.0
1,0,0,3,0.0,27.0
2,1,6,0,24.0,0.0
2,1,2,0,19.0,0.0
2,1,5,0,31.0,0.0
2,1,4,0,30.0,0.0
2,1,7,0,26.0,0.0
2,1,5,0,14.0,0.0
2,1,3,0,23.0,0.0
2,1,1,0,20.0,0.0
2,1,5,0,63.0,0.0
2,1,4,0,13.0,0.0
2,1,3,0,32.0,0.0
2,1,3,0,25.0,0.0
2,0,0,2,0.0,2.0
2,0,0,3,0.0,8.0
2,0,0,2,0.0,2.0
2,0,0,2,0.0,3.0
2,0,0,1,0.0,19.0
2,0,0,5,0.0,5.0
2,0,0,1,0.0,15.0
2,0,0,6,0.0,38.0
2,0,0,1,0.0,32.0
2,0,0,2,0.0,9.0
2,0,0,1,0.0,3.0
2,0,0,2,0.0,21.0
2,0,0,2,0.0,2.0
2,0,0,4,0.0,29.0
2,0,0,1,0.0,5.0
2,0,0,4,0.0,50.0
2,0,0,2,0.0,9.0
2,0,0,1,0.0,7.0
2,0,0,2,0.0,27.0
2,0,0,2,0.0,7.0
2,0,0,2,0.0,27.0
3,1,6,0,24.0,0.0
3,1,2,0,19.0,0.0
3,1,4,0,31.0,0.0
3,1,3,0,30.0,0.0
3,1,4,0,26.0,0.0
3,1,2,0,14.0,0.0
3,1,2,0,23.0,0.0
3,1,3,0,20.0,0.0
3,1,4,0,63.0,0.0
3,1,3,0,13.0,0.0
3,1,2,0,32.0,0.0
3,1,2,0,25.0,0.0
3,0,0,2,0.0,2.0
3,0,0,1,0.0,8.0
3,0,0,1,0.0,2.0
3,0,0,1,0.0,3.0
3,0,0,1,0.0,19.0
3,0,0,2,0.0,5.0
3,0,0,1,0.0,15.0
3,0,0,3,0.0,38.0
3,0,0,1,0.0,32.0
3,0,0,1,0.0,9.0
3,0,0,1,0.0,3.0
3,0,0,2,0.0,21.0
3,0,0,1,0.0,2.0
3,0,0,5,0.0,29.0
3,0,0,1,0.0,5.0
3,0,0,3,0.0,50.0
3,0,0,1,0.0,9.0
3,0,0,1,0.0,7.0
3,0,0,2,0.0,27.0
3,0,0,2,0.0,7.0
3,0,0,4,0.0,27.0
4,1,6,0,24.0,0.0
4,1,2,0,19.0,0.0
4,1,4,0,31.0,0.0
4,1,4,0,30.0,0.0
4,1,4,0,26.0,0.0
4,1,3,0,14.0,0.0
4,1,3,0,23.0,0.0
4,1,0,0,20.0,0.0
4,1,5,0,63.0,0.0
4,1,2,0,13.0,0.0
4,1,0,0,32.0,0.0
4,1,0,0,25.0,0.0
4,0,0,1,0.0,2.0
4,0,0,1,0.0,8.0
4,0,0,1,0.0,2.0
4,0,0,2,0.0,3.0
4,0,0,2,0.0,19.0
4,0,0,1,0.0,5.0
4,0,0,1,0.0,15.0
4,0,0,3,0.0,38.0
4,0,0,2,0.0,32.0
4,0,0,1,0.0,9.0
4,0,0,2,0.0,3.0
4,0,0,3,0.0,21.0
4,0,0,1,0.0,2.0
4,0,0,4,0.0,29.0
4,0,0,1,0.0,5.0
4,0,0,1,0.0,50.0
4,0,0,1,0.0,9.0
4,0,0,1,0.0,7.0
4,0,0,2,0.0,27.0
4,0,0,1,0.0,7.0
4,0,0,1,0.0,27.0
5,1,9,0,24.0,0.0
5,1,5,0,19.0,0.0
5,1,5,0,31.0,0.0
5,1,3,0,30.0,0.0
5,1,3,0,26.0,0.0
5,1,4,0,14.0,0.0
5,1,4,0,23.0,0.0
5,1,0,0,20.0,0.0
5,1,6,0,63.0,0.0
5,1,0,0,13.0,0.0
5,1,1,0,32.0,0.0
5,1,7,0,25.0,0.0
5,0,0,1,0.0,2.0
5,0,0,2,0.0,8.0
5,0,0,2,0.0,2.0
5,0,0,2,0.0,3.0
5,0,0,4,0.0,19.0
5,0,0,1,0.0,5.0
5,0,0,3,0.0,15.0
5,0,0,6,0.0,38.0
5,0,0,4,0.0,32.0
5,0,0,1,0.0,9.0
5,0,0,1,0.0,3.0
5,0,0,3,0.0,21.0
5,0,0,2,0.0,2.0
5,0,0,3,0.0,29.0
5,0,0,1,0.0,5.0
5,0,0,3,0.0,50.0
5,0,0,2,0.0,9.0
5,0,0,2,0.0,7.0
5,0,0,1,0.0,27.0
5,0,0,2,0.0,7.0
5,0,0,1,0.0,27.0
6,1,6,0,24.0,0.0
6,1,2,0,19.0,0.0
6,1,7,0,31.0,0.0
6,1,4,0,30.0,0.0
6,1,2,0,26.0,0.0
6,1,0,0,14.0,0.0
6,1,3,0,23.0,0.0
6,1,3,0,20.0,0.0
6,1,5,0,63.0,0.0
6,1,3,0,13.0,0.0
6,1,2,0,32.0,0.0
6,1,2,0,25.0,0.0
6,0,0,2,0.0,2.0
6,0,0,2,0.0,8.0
6,0,0,1,0.0,2.0
6,0,0,2,0.0,3.0
6,0,0,3,0.0,19.0
6,0,0,1,0.0,5.0
6,0,0,2,0.0,15.0
6,0,0,4,0.0,38.0
6,0,0,2,0.0,32.0
6,0,0,1,0.0,9.0
6,0,0,2,0.0,3.0
6,0,0,2,0.0,21.0
6,0,0,1,0.0,2.0
6,0,0,2,0.0,29.0
6,0,0,0,0.0,5.0
6,0,0,3,0.0,50.0
6,0,0,2,0.0,9.0
6,0,0,1,0.0,7.0
6,0,0,2,0.0,27.0
6,0,0,1,0.0,7.0
6,0,0,3,0.0,27.0
7,1,6,0,24.0,0.0
7,1,5,0,19.0,0.0
7,1,5,0,31.0,0.0
7,1,3,0,30.0,0.0
7,1,5,0,26.0,0.0
7,1,4,0,14.0,0.0
7,1,0,0,23.0,0.0
7,1,2,0,20.0,0.0
7,1,0,0,63.0,0.0
7,1,0,0,13.0,0.0
7,1,1,0,32.0,0.0
7,1,3,0,25.0,0.0
7,0,0,1,0.0,2.0
7,0,0,1,0.0,8.0
7,0,0,2,0.0,2.0
7,0,0,1,0.0,3.0
7,0,0,1,0.0,19.0
7,0,0,1,0.0,5.0
7,0,0,3,0.0,15.0
7,0,0,2,0.0,38.0
7,0,0,0,0.0,32.0
7,0,0,2,0.0,9.0
7,0,0,1,0.0,3.0
7,0,0,3,0.0,21.0
7,0,0,3,0.0,2.0
7,0,0,3,0.0,29.0
7,0,0,2,0.0,5.0
7,0,0,4,0.0,50.0
7,0,0,2,0.0,9.0
7,0,0,1,0.0,7.0
7,0,0,0,0.0,27.0
7,0,0,0,0.0,7.0
7,0,0,1,0.0,27.0
8,1,5,0,24.0,0.0
8,1,3,0,19.0,0.0
8,1,5,0,31.0,0.0
8,1,4,0,30.0,0.0
8,1,3,0,26.0,0.0
8,1,4,0,14.0,0.0
8,1,5,0,23.0,0.0
8,1,1,0,20.0,0.0
8,1,5,0,63.0,0.0
8,1,6,0,13.0,0.0
8,1,3,0,32.0,0.0
8,1,5,0,25.0,0.0
8,0,0,1,0.0,2.0
8,0,0,2,0.0,8.0
8,0,0,3,0.0,2.0
8,0,0,1,0.0,3.0
8,0,0,3,0.0,19.0
8,0,0,1,0.0,5.0
8,0,0,1,0.0,15.0
8,0,0,4,0.0,38.0
8,0,0,2,0.0,32.0
8,0,0,3,0.0,9.0
8,0,0,2,0.0,3.0
8,0,0,2,0.0,21.0
8,0,0,1,0.0,2.0
8,0,0,4,0.0,29.0
8,0,0,3,0.0,5.0
8,0,0,3,0.0,50.0
8,0,0,1,0.0,9.0
8,0,0,1,0.0,7.0
8,0,0,3,0.0,27.0
8,0,0,3,0.0,7.0
8,0,0,5,0.0,27.0
9,1,7,0,24.0,0.0
9,1,3,0,19.0,0.0
9,1,7,0,31.0,0.0
9,1,5,0,30.0,0.0
9,1,4,0,26.0,0.0
9,1,0,0,14.0,0.0
9,1,4,0,23.0,0.0
9,1,1,0,20.0,0.0
9,1,4,0,63.0,0.0
9,1,3,0,13.0,0.0
9,1,3,0,32.0,0.0
9,1,3,0,25.0,0.0
9,0,0,1,0.0,2.0
9,0,0,2,0.0,8.0
9,0,0,1,0.0,2.0
9,0,0,1,0.0,3.0
9,0,0,4,0.0,19.0
9,0,0,1,0.0,5.0
9,0,0,2,0.0,15.0
9,0,0,4,0.0,38.0
9,0,0,2,0.0,32.0
9,0,0,3,0.0,9.0
9,0,0,1,0.0,3.0
9,0,0,3,0.0,21.0
9,0,0,3,0.0,2.0
9,0,0,2,0.0,29.0
9,0,0,1,0.0,5.0
9,0,0,4,0.0,50.0
9,0,0,2,0.0,9.0
9,0,0,1,0.0,7.0
9,0,0,3,0.0,27.0
9,0,0,1,0.0,7.0
9,0,0,2,0.0,27.0
10,1,5,0,24.0,0.0
10,1,2,0,19.0,0.0
10,1,5,0,31.0,0.0
10,1,4,0,30.0,0.0
10,1,4,0,26.0,0.0
10,1,3,0,14.0,0.0
10,1,2,0,23.0,0.0
10,1,4,0,20.0,0.0
10,1,5,0,63.0,0.0
10,1,0,0,13.0,0.0
10,1,1,0,32.0,0.0
10,1,3,0,25.0,0.0
